time,open,high,low,close,
02/06/2011 0:00,1.43658,1.45156,1.43489,1.44849,213583
03/06/2011 0:00,1.4485,1.46423,1.44548,1.46348,175648
05/06/2011 0:00,1.46068,1.46566,1.46057,1.46382,43760
06/06/2011 0:00,1.4638,1.46576,1.45573,1.46089,202831
07/06/2011 0:00,1.4609,1.46956,1.46031,1.46619,203215
08/06/2011 0:00,1.4662,1.46882,1.45639,1.46248,219769
09/06/2011 0:00,1.46248,1.46457,1.44782,1.44865,213238
10/06/2011 0:00,1.44864,1.45026,1.43222,1.43468,183609
12/06/2011 0:00,1.43246,1.43569,1.43201,1.43425,41488
13/06/2011 0:00,1.43426,1.444,1.43251,1.44315,204388
14/06/2011 0:00,1.44316,1.44971,1.44033,1.44152,217167
15/06/2011 0:00,1.4415,1.44291,1.41131,1.41261,249630
16/06/2011 0:00,1.41262,1.42207,1.40731,1.41474,275287
17/06/2011 0:00,1.41479,1.43389,1.41269,1.43063,196181
19/06/2011 0:00,1.42731,1.42934,1.4222,1.42274,41306
20/06/2011 0:00,1.42275,1.43816,1.41912,1.43371,219710
21/06/2011 0:00,1.43371,1.44223,1.4315,1.4379,205455
22/06/2011 0:00,1.43797,1.44412,1.42862,1.43031,207949
23/06/2011 0:00,1.43031,1.43137,1.41268,1.42613,225305
24/06/2011 0:00,1.42613,1.43057,1.41431,1.41888,188654
26/06/2011 0:00,1.4188,1.41959,1.41025,1.41232,40390
27/06/2011 0:00,1.41232,1.43262,1.41126,1.42941,209493
28/06/2011 0:00,1.42939,1.43966,1.4237,1.43711,225218
29/06/2011 0:00,1.43709,1.45178,1.43463,1.45117,235849
30/06/2011 0:00,1.45117,1.45375,1.44475,1.45143,194428
01/07/2011 0:00,1.45144,1.45503,1.44383,1.45254,168378
03/07/2011 0:00,1.4529,1.45774,1.4529,1.45544,32546
04/07/2011 0:00,1.45545,1.45599,1.44653,1.44677,150722
05/07/2011 0:00,1.44677,1.44984,1.43981,1.44568,191284
06/07/2011 0:00,1.44568,1.44663,1.42859,1.43178,210239
07/07/2011 0:00,1.43179,1.43739,1.42229,1.4338,198876
08/07/2011 0:00,1.4338,1.43622,1.42142,1.42634,184193
10/07/2011 0:00,1.4203,1.42273,1.41825,1.41912,40675
11/07/2011 0:00,1.41915,1.42056,1.3932,1.39514,275507
12/07/2011 0:00,1.39514,1.40537,1.38371,1.39859,332737
